symbol,data_days,start_date,end_date,spot_listed_at,perp_listed_at,listing_trade_start,is_listing_censored,avg_volume_usd,corr_zscore_next,return_gross,sharpe_gross,win_gross,dd_gross,return_net,sharpe_net,win_net,dd_net,n_trades,turnover_pct,total_cost
ORDI,867,2023-11-07,2026-03-22,2023-11-07T00:00:00+00:00,2023-11-07T00:00:00+00:00,2023-11-07T00:00:00+00:00,False,52597323.70976684,0.0087156698391712,-0.7863593519692934,-0.248221747383451,50.99648300117233,-4.015576335631051,-1.0739593519692894,-0.3389268735500172,50.410316529894494,-4.165976335631051,360,42.20398593200469,0.2876000000000001
PHB,1131,2023-02-16,2026-03-22,2022-11-18T00:00:00+00:00,2023-02-16T00:00:00+00:00,2023-02-16T00:00:00+00:00,False,5054966.25596473,0.0124524565230629,-0.9340229903878828,-0.2454114912872527,49.5076096687556,-3.6397650378690023,-1.328022990387876,-0.3487877148755125,49.41808415398389,-3.912565037868996,493,44.136078782453,0.394
BABY,347,2025-04-10,2026-03-22,2025-04-10T00:00:00+00:00,2025-04-05T00:00:00+00:00,2025-04-10T00:00:00+00:00,False,5785396.203395129,0.0161137871839601,-0.2984371840500677,-0.2705144641138503,47.44744744744745,-0.9422198818310126,-0.4092371840500689,-0.3707883685274207,47.147147147147145,-0.9878198818310128,139,41.74174174174174,0.1108
SYS,581,2024-08-19,2026-03-22,2021-09-24T00:00:00+00:00,2024-08-19T00:00:00+00:00,2024-08-19T00:00:00+00:00,False,1767736.476270258,0.0337164496214426,-0.3771541050603875,-0.2406680346801022,47.08994708994709,-1.5828059056231982,-0.5855541050603894,-0.3738549948768632,46.56084656084656,-1.631605905623197,261,46.03174603174603,0.2084
STEEM,866,2023-11-08,2026-03-22,2022-04-22T00:00:00+00:00,2023-11-08T00:00:00+00:00,2023-11-08T00:00:00+00:00,False,2644754.044313622,0.0498344218695716,-0.5122179548519842,-0.2415417620420101,49.53051643192488,-1.3009246764883522,-0.8174179548519886,-0.3853489438026894,49.06103286384976,-1.477911617368512,382,44.835680751173705,0.3052
BIO,444,2025-01-03,2026-03-22,2025-01-03T00:00:00+00:00,2025-01-03T00:00:00+00:00,2025-01-03T00:00:00+00:00,False,15963659.321416846,0.0688050267311001,-0.5873131770379937,-0.3145383429079437,48.13953488372093,-1.974431870289204,-0.7301131770379945,-0.390975931172847,47.906976744186046,-2.0992318702892048,179,41.627906976744185,0.1428
ZEC,1908,2020-12-31,2026-03-22,2020-12-31T00:00:00+00:00,2020-12-31T00:00:00+00:00,2020-12-31T00:00:00+00:00,True,37319164.36431935,-0.0085901127729202,-1.6920437030501874,-0.2874983669076269,49.63041182682154,-4.86155404692641,-2.3324437030501763,-0.3962529942270351,49.41921858500528,-5.17275404692641,801,42.29144667370644,0.6404000000000001
CFX,1127,2023-02-20,2026-03-22,2021-03-29T00:00:00+00:00,2023-02-20T00:00:00+00:00,2023-02-20T00:00:00+00:00,False,22893139.432850514,0.0452207020785421,-1.2049269959014806,-0.2996442847899902,49.32614555256065,-3.7233901435054126,-1.6141269959014684,-0.401448691629831,48.96675651392633,-4.008190143505406,512,46.00179694519318,0.4092
BNT,956,2023-08-10,2026-03-22,2020-12-31T00:00:00+00:00,2023-08-10T00:00:00+00:00,2023-08-10T00:00:00+00:00,False,2120484.1085450836,0.0697483950402556,-0.5827803813926918,-0.2569443120146968,50.318471337579616,-2.656475809926606,-0.9191803813926837,-0.4052779752316484,50.10615711252654,-2.7656622600965144,421,44.69214437367304,0.3364
WLFI,203,2025-09-01,2026-03-22,2025-09-01T00:00:00+00:00,2025-08-23T00:00:00+00:00,2025-09-01T00:00:00+00:00,False,51493007.597461425,0.0157819726305754,-0.1411378399173707,-0.2667694394266907,51.85185185185185,-0.6033658078241532,-0.2175378399173715,-0.4111712328241347,51.32275132275132,-0.6185658078241534,96,50.79365079365079,0.0764
