date,ADA,AVAX,BNB,BTC,DOGE,ETH,LINK,SOL,XRP,btc_ma200,btc_ma200_gap,btc_ma200_gap_ma7,ethbtc,ethbtc_ma180,ethbtc_gap,ethbtc_ret90,ethbtc_gap_ma7,ethbtc_ret90_ma7,solbtc,solbtc_ma180,solbtc_gap,solbtc_ret90,solbtc_gap_ma7,solbtc_ret90_ma7,xrpbtc,xrpbtc_ma180,xrpbtc_gap,xrpbtc_ret90,xrpbtc_gap_ma7,xrpbtc_ret90_ma7,dogebtc,dogebtc_ma180,dogebtc_gap,dogebtc_ret90,dogebtc_gap_ma7,dogebtc_ret90_ma7,bnbbtc,bnbbtc_ma180,bnbbtc_gap,bnbbtc_ret90,bnbbtc_gap_ma7,bnbbtc_ret90_ma7,adabtc,adabtc_ma180,adabtc_gap,adabtc_ret90,adabtc_gap_ma7,adabtc_ret90_ma7,avaxbtc,avaxbtc_ma180,avaxbtc_gap,avaxbtc_ret90,avaxbtc_gap_ma7,avaxbtc_ret90_ma7,linkbtc,linkbtc_ma180,linkbtc_gap,linkbtc_ret90,linkbtc_gap_ma7,linkbtc_ret90_ma7
2023-02-13,0.3589,17.616,294.04,21766.2,0.08202,1504.85,6.665,20.748,0.3704,19701.624,0.10479217347767888,0.12319156633238428,0.06913701059440784,0.07282826227852612,-0.05068433007506579,-0.0680098530331511,-0.03366133994048792,-0.044574387723545286,0.000953221049149599,0.001212389318407455,-0.2137665396114582,0.12551793640167608,-0.20847852749746418,0.13288467126975065,1.7017210169896443e-05,2.082096756085534e-05,-0.18268879099116353,-0.26025289443433186,-0.1646997294105891,-0.20916648524084985,3.7682278027400277e-06,4.099229593057712e-06,-0.08074731673440683,-0.26868580095363814,-0.06837411633666764,-0.2475778041715372,0.013509018570076541,0.014878835526498024,-0.09206479592989303,-0.1758683729472107,-0.04996946081795074,-0.16204054554550854,1.648886806148983e-05,1.9279859001979712e-05,-0.14476199956666147,-0.17392776480908134,-0.13364413247276577,-0.17232260837102523,0.000809328224494859,0.0008374419182474064,-0.033570917743625195,0.012082773323696783,-0.00593421000692107,0.033597422264983474,0.0003062087089156582,0.0003614232456583599,-0.15276974407698718,-0.19411803977243092,-0.13266184801574746,-0.18974008821237923
2023-02-14,0.3867,18.141,296.06,22187.4,0.08358,1554.94,6.805,21.836,0.3818,19693.7055,0.12662393575449782,0.11577651838400345,0.07008211867997151,0.07277530703519383,-0.037006897874301115,-0.04019697207329165,-0.03653236783919673,-0.05577235545474631,0.0009841621821394123,0.0012083967874306927,-0.1855637218037054,0.14939263729609986,-0.2101053536746684,0.09801125529545178,1.7207964880968475e-05,2.082790889304276e-05,-0.17380256609838884,-0.2357350225472028,-0.16618064353224196,-0.21883382437462714,3.7670028935341677e-06,4.102260356298587e-06,-0.08172505732106128,-0.26579821632822187,-0.0765748984111253,-0.26423418792222075,0.01334360943598619,0.014881570261577947,-0.10334667636267858,-0.18226314584162084,-0.05981033425049736,-0.1674628107062532,1.7428810946753562e-05,1.9254121381381802e-05,-0.09480102459483108,-0.12511257295744704,-0.13019208002126095,-0.17035921448469207,0.0008176262202871899,0.0008361903351377513,-0.022200824466003022,0.04401588523879485,-0.017359096226921285,0.024157132625424866,0.0003067056076872459,0.0003612955295784421,-0.15109492762030985,-0.17284865705259866,-0.1333236647847878,-0.18461592299513102
2023-02-15,0.4193,19.957,317.26,24332.6,0.08925,1675.0,7.281,23.862,0.4012,19697.218999999997,0.2353317491164617,0.12592883333138344,0.06883769099890683,0.07272868763867096,-0.05350016294938942,-0.04279632823800672,-0.04182788234961231,-0.058162411442359105,0.0009806596911139788,0.0012042970318500283,-0.1856994867723789,0.20113531814482433,-0.21058409102979667,0.12538497235048976,1.648816813657398e-05,2.0830380414215156e-05,-0.2084557358673077,-0.2793888664628221,-0.1722357871373721,-0.2263412914285888,3.6679187591954825e-06,4.104574370709853e-06,-0.10638267749034702,-0.2768161265479854,-0.08620927220641501,-0.2709232729216122,0.01303847513212727,0.014879578772964435,-0.12373358607317375,-0.1878532372426992,-0.07215043806439363,-0.16969794947029873,1.723202617065172e-05,1.9229912974298936e-05,-0.10389473973789809,-0.11521580861363812,-0.1283057922270668,-0.16107462440166895,0.0008201754025463782,0.0008347657773408854,-0.01747840554866087,0.06402115894073668,-0.024821195021857517,0.033260609698964924,0.00029922819591823315,0.0003611187639589668,-0.17138563325323675,-0.19785397924995074,-0.13743234711249924,-0.1784577857859849
2023-02-16,0.3875,18.595,304.07,23526.6,0.0849,1639.0,7.013,22.257,0.3839,19698.4015,0.1943405661621831,0.13861686387233438,0.06966582506609541,0.0727015921159819,-0.0417565415217247,-0.04070680785649594,-0.04358017746192896,-0.055155963491886166,0.0009460355512483743,0.0012002837965023046,-0.21182344208496695,0.19099717429810625,-0.20703772513505245,0.15609837809872107,1.6317699965145836e-05,2.0832577914223993e-05,-0.21672199992087904,-0.2883785808510727,-0.1806804396453597,-0.23577155168277703,3.608681237407871e-06,4.106402792517378e-06,-0.12120621874124171,-0.28884393378242834,-0.091149847576385,-0.2764142016012011,0.01292451948007787,0.014876858992146741,-0.1312333143104657,-0.2124343613616574,-0.08298752620636739,-0.1751088806071107,1.6470718250830976e-05,1.9203036862956405e-05,-0.14228575571795132,-0.1557391081360756,-0.12793657500732888,-0.1543286794290984,0.0007903819506431018,0.0008332982616024841,-0.0515017406574827,0.015804531160340085,-0.02818691873737676,0.03669420885077198,0.0002980881215305229,0.0003609622945505918,-0.17418487739377053,-0.19472299742506172,-0.1457765542734937,-0.1743309955920656
2023-02-17,0.4033,19.456,312.94,24581.5,0.08777,1694.12,7.652,23.146,0.395,19705.020999999997,0.24747393062915313,0.1601747717235194,0.06891849561662225,0.07266670807527024,-0.051580876001228626,-0.054614100074193095,-0.04502437601451955,-0.053734349931853075,0.0009416024245875964,0.0011960987690113284,-0.212772014332975,0.22443523513268593,-0.2028420645903508,0.17778997905149335,1.606899497589651e-05,2.0832855200748237e-05,-0.22867053886500532,-0.3012812549279946,-0.1917021764588672,-0.25254736051145216,3.5705713646441428e-06,4.108347319508666e-06,-0.13089836692016532,-0.294553311245494,-0.09742950176482043,-0.2775062098500941,0.012730712120903931,0.014869670064246648,-0.14384703454084902,-0.21965077529821442,-0.09649049209796952,-0.1836693004334385,1.640664727539003e-05,1.9174784478472992e-05,-0.1443634063366227,-0.16476205457957227,-0.12762928309480953,-0.15198941779950773,0.0007914895348127657,0.000831766737343136,-0.04842367543937309,0.025796246558696945,-0.03159060804195747,0.03243071709189097,0.0003112910115330635,0.0003608637414030978,-0.1373724322573593,-0.15382678286593776,-0.14821369452718067,-0.17526605613701518
2023-02-18,0.4061,19.56,316.21,24636.9,0.08888,1691.66,7.995,23.464,0.394,19713.33,0.24975841220128703,0.18039734811143576,0.06866367115992678,0.0726263122831996,-0.05456205882822296,-0.021228259925344495,-0.04779951768958135,-0.04830906836609006,0.0009523925493873011,0.0011921968190868536,-0.20114486623377104,0.265031670815427,-0.19996814538368282,0.18956909344356396,1.5992271754969173e-05,2.0832446519468206e-05,-0.23233827865468526,-0.2785255299143018,-0.20236564415408073,-0.26950090624255546,3.6075967349788323e-06,4.110626915984976e-06,-0.12237310543800817,-0.23769668056594528,-0.10326642542964022,-0.2719161858304304,0.012834812821418278,0.014863092377337071,-0.1364641693952916,-0.20920913589863666,-0.10951161153336085,-0.19045394385958023,1.6483404973840054e-05,1.914655616277122e-05,-0.13909296096336266,-0.14001969933533287,-0.12905810282701913,-0.14836666470000218,0.0007939310546375558,0.0008303198052674549,-0.0438249821322495,0.06096103142769893,-0.03491460129965884,0.03641982895932377,0.0003245132301547678,0.00036083889880747115,-0.10067004630807619,-0.08321632135130641,-0.1461483140243328,-0.1672347373374439
2023-02-19,0.3994,19.83,311.25,24265.9,0.08704,1680.31,8.017,24.853,0.3859,19720.652000000002,0.23048162910638048,0.19840034234966317,0.06924573166459928,0.07258135124843347,-0.04595697829345913,-0.013313225036610143,-0.04786397793477025,-0.04012364946244188,0.0010241944457036417,0.001188680111504316,-0.1383767291205975,0.3661411409795807,-0.19273525713712186,0.21752158758120002,1.5902974956626375e-05,2.0831182317204198e-05,-0.23657837973544504,-0.31145313205910563,-0.21132232716183924,-0.2792878973138331,3.5869265100408394e-06,4.112788962280763e-06,-0.127860305272825,-0.24200707606009964,-0.11017043541686504,-0.2677715922119733,0.012826641501036433,0.014857119716764365,-0.1366670158440466,-0.2032348125557355,-0.12390808463662832,-0.19864483444939637,1.6459311214502654e-05,1.911786591466494e-05,-0.13906126928753904,-0.14713299675969005,-0.12975159374355233,-0.14598714359869103,0.0008171961476804898,0.000828792568412921,-0.013991945843140896,0.09178678954466912,-0.03299892740436218,0.044924059456376196,0.00033038131699215765,0.00036080616456785097,-0.08432463345556784,-0.11224795350642203,-0.13882889919504396,-0.15840496160338688
2023-02-20,0.404,20.847,315.28,24849.9,0.08835,1703.7,8.018,26.291,0.3986,19731.857,0.25937969244354453,0.2204842736305011,0.0685596320307124,0.07253149906411895,-0.05476058105314152,-0.023730484924745054,-0.04844629950306678,-0.0337980254469553,0.0010579921850792156,0.00118549149055111,-0.10754974328210709,0.3809662860944658,-0.17756142909007172,0.2540142089658843,1.604030599720723e-05,2.0830438051521684e-05,-0.2299582967226429,-0.30728597588312134,-0.2180751136949077,-0.2860069089493744,3.5553462991802783e-06,4.114886858283909e-06,-0.13597957328454569,-0.26740535847962876,-0.1180607577811706,-0.26758867185854335,0.012687374999496978,0.01485058403860795,-0.14566491347997823,-0.2281267912503162,-0.1315652442866405,-0.2061103227784115,1.625761069461044e-05,1.9089191686533677e-05,-0.1483342531428794,-0.1558636362580086,-0.13026191568301204,-0.14340655380568063,0.0008389168568082769,0.0008274722848000148,0.013830761728808927,0.10264441840566696,-0.026227258908300164,0.05786143732522908,0.00032265723403313495,0.0003607466707975048,-0.1055849986921994,-0.18465587624896884,-0.1320882212829314,-0.15705322395717802
2023-02-21,0.3925,20.995,311.4,24443.4,0.08546,1659.2,7.642,24.983,0.3918,19737.5835,0.23841908002567802,0.236455008526384,0.06787926393218618,0.07247181988937351,-0.06337023085935678,-0.0484185327574268,-0.0522124899295033,-0.03497253411611746,0.0010220754886799707,0.0011820893116869674,-0.13536525660539123,0.1835992181309789,-0.17039021977602684,0.258900863370867,1.60288666879403e-05,2.082961169812844e-05,-0.2304769325402014,-0.30235545297739397,-0.22617145175802378,-0.2955241132965446,3.4962402939034665e-06,4.116541547910139e-06,-0.1506850463641216,-0.2917990397953967,-0.12791218478732208,-0.2713030752109969,0.012739635238960208,0.014843756349189729,-0.14175125626771534,-0.29168669470087505,-0.1370516128445029,-0.2217422583297335,1.6057504275182666e-05,1.905872058450112e-05,-0.15747207668069252,-0.1627799891609285,-0.1392149231238494,-0.14878761326332085,0.0008589230630763314,0.0008263219831366425,0.03945324051036159,0.09238373593395521,-0.017419535340248076,0.06477113028168056,0.00031264063100877945,0.00036064789376306135,-0.13311394183774639,-0.2257093890321591,-0.1295195090282795,-0.16460475709711522
2023-02-22,0.3889,20.311,312.39,24171.3,0.0855,1642.01,7.716,24.145,0.3953,19743.7235,0.2242523554384257,0.23487223800095028,0.06793221713354268,0.07243527951761602,-0.06216670128232493,-0.06298131250075356,-0.05345056683420838,-0.03785610329650987,0.0009989119327466873,0.001178938312752547,-0.15270212025389174,0.13592943272607338,-0.1656763102733858,0.249585736882474,1.6354105902454564e-05,2.0827338333516384e-05,-0.214776960907351,-0.3244862664279634,-0.22707448390660143,-0.3019665990058505,3.537252857727967e-06,4.118764469601466e-06,-0.14118593480286246,-0.27906259284405444,-0.13288407868910998,-0.27162399896757816,0.01292400491491976,0.014838850178535173,-0.1290426980916144,-0.2848654066887393,-0.13781005741856583,-0.23560113967916776,1.608932908035563e-05,1.902970960592112e-05,-0.154515259899215,-0.15572237877010509,-0.1464464260040375,-0.15457426614281614,0.0008402940677580436,0.000825321769635928,0.018141164662020648,0.07755586133925063,-0.012331025310150718,0.06670465919575398,0.00031922155614302916,0.0003606370283130243,-0.11483976663108353,-0.22393380979522381,-0.1214415280822576,-0.1683304471750114
2023-02-23,0.3822,19.718,308.2,23928.8,0.08423,1649.69,7.94,23.909,0.3881,19747.5285,0.21173644590511653,0.2373573636785122,0.06894161010999299,0.07240489358066664,-0.04783217403413753,-0.04997995349576145,-0.05431851433598164,-0.03918083838783352,0.0009991725452174786,0.001175749715106784,-0.15018261762731389,0.17748367278390265,-0.15687047820800679,0.2476552366661592,1.6218949550332653e-05,2.0824665589640012e-05,-0.22116638653725318,-0.3428022751024311,-0.22770939628036915,-0.3097414124703302,3.5200260773628433e-06,4.120710657842769e-06,-0.1457720840789123,-0.3499149871817907,-0.13639348802306292,-0.28034843516748703,0.012879876968339407,0.01483336933048924,-0.13169579470623227,-0.29193044637090015,-0.1378761260465325,-0.24695772325191673,1.5972384741399485e-05,1.8993732996531374e-05,-0.15907079749323882,-0.16120348608130997,-0.1488442891147929,-0.1553548915635639,0.0008240279495837652,0.0008243424547116154,-0.0003815224195389266,0.06218122361042866,-0.005028136990444465,0.07332990097433807,0.00033181772592023005,0.0003606698460297567,-0.07999593097989743,-0.19913272788672942,-0.10798596430884715,-0.16896040866953532
2023-02-24,0.3656,18.38,302.11,23175.6,0.08088,1607.12,7.462,23.06,0.3781,19744.3845,0.17378184161678978,0.22682992239103172,0.06934534596731044,0.07238477965598061,-0.04198995566630903,-0.05325564814790096,-0.052948382859564554,-0.03898677382693464,0.0009950119953744455,0.0011726433209897703,-0.15147941614965665,0.15808047225028865,-0.14811439275324703,0.23817598482581673,1.631457222250988e-05,2.0823701868936743e-05,-0.2165383309272808,-0.3219766008021486,-0.22597622371783707,-0.31269789045235225,3.4898772847304922e-06,4.122557548244574e-06,-0.15346790338523797,-0.3539760361018589,-0.13961770751807331,-0.2888373958612535,0.013035692711299817,0.01482728307429681,-0.12083065751288757,-0.31041416129051946,-0.13458807218539515,-0.2599239212508175,1.5775211860750098e-05,1.895950467914154e-05,-0.16795232113287573,-0.17254587072751737,-0.15221413408568615,-0.15646686529898465,0.0007930754759315832,0.0008234877398051264,-0.036931046333173234,0.022211026382526144,-0.0033863328324159137,0.07281772666345653,0.0003219765615561194,0.0003606823048088044,-0.1073125649266401,-0.2594719160585963,-0.10369169754731584,-0.18405257055420085
2023-02-25,0.3617,17.931,302.18,23146.2,0.08071,1593.59,7.368,22.359,0.3775,19744.4145,0.17229102944531482,0.21576315342589283,0.06884888232193621,0.07234238462352997,-0.0482912240144413,-0.05244652898762259,-0.05205254931473861,-0.04344652655011722,0.0009659900977266248,0.0011691349631266833,-0.173756556605558,0.1251910758866066,-0.14420177709207374,0.2181987569788424,1.6309372596797748e-05,2.0822929366843735e-05,-0.21675897231025065,-0.3238013067200942,-0.223750608525775,-0.3191658585674655,3.4869654630133675e-06,4.124448162873978e-06,-0.15456193766692972,-0.41945418681180735,-0.14421611212220498,-0.31480275389637663,0.013055274731921439,0.014821554272658013,-0.11916965712529282,-0.3024415837699994,-0.13211742757539532,-0.27324284237529783,1.5626755147713233e-05,1.892301846397695e-05,-0.17419331501148683,-0.1787777629157269,-0.15722847037827534,-0.1620037315247552,0.0007746843974388884,0.0008225032767559267,-0.05813822347996345,-0.01032034341657817,-0.005431081596375049,0.06263467311427408,0.0003183243901806776,0.00036061686901275836,-0.1172781488227731,-0.24236027098823243,-0.10606428362084397,-0.20678742050233317
2023-02-26,0.3688,18.421,308.42,23545.3,0.08213,1640.49,7.489,23.238,0.3776,19742.4365,0.19262381824046892,0.2103548947307626,0.06967377778155301,0.07230206455826124,-0.03635147616829604,-0.032711566846432394,-0.05068033472542959,-0.04621771823723469,0.0009869485629828458,0.0011657894266219062,-0.1534075190210683,0.20130759324386105,-0.14634903279214098,0.194651107302311,1.603717090034954e-05,2.08204004976422e-05,-0.2297376363069642,-0.3309105668004272,-0.22277335946456342,-0.32194549210194,3.4881696134685055e-06,4.126576497346997e-06,-0.15470617939323983,-0.4054481487172569,-0.14805123699654993,-0.3381514785616848,0.01309900489694334,0.014815377042234118,-0.11585072323154011,-0.2759488850712296,-0.12914367148789438,-0.2836305670203685,1.5663423273434615e-05,1.8883009110061584e-05,-0.17050173613015163,-0.17161245941784853,-0.16171996564150573,-0.16550079761877784,0.0007823642085681644,0.0008214100799721169,-0.04753517439824684,0.019035513040978946,-0.010222971389961612,0.05224163361374691,0.00031806772476884986,0.0003605449742533997,-0.11781401078328668,-0.2831532063954343,-0.11084848038194665,-0.23120245662933486
2023-02-27,0.3646,17.917,304.5,23480.0,0.08134,1632.6,7.27,22.665,0.3783,19740.250500000002,0.18944792519223586,0.20036464226628994,0.06953151618398637,0.07225784406068299,-0.03773054555027988,-0.06014006962452101,-0.04824747251073507,-0.05141908748005982,0.0009652896081771721,0.0011624313534244252,-0.16959431166966554,0.18947189480332227,-0.1552125425617922,0.1672947656892905,1.6111584327086885e-05,2.0819180894233524e-05,-0.2261182412056636,-0.33425977479536284,-0.222224780104995,-0.3257988919465459,3.464224872231686e-06,4.128832444805142e-06,-0.16096743606286534,-0.43863228310464697,-0.15162093167916701,-0.3626124677938303,0.01296848381601363,0.014810087426076157,-0.1243479229447364,-0.27789893184252645,-0.126098387125717,-0.2907408728192556,1.5528109028960818e-05,1.8845727191460436e-05,-0.1760408674494095,-0.1741860152274468,-0.16567805339958142,-0.1681182803286976,0.0007630749574105623,0.0008203492719152083,-0.06981698706324435,0.006724742302444797,-0.022172649788826364,0.038538822741858034,0.0003096252129471891,0.00036043003322971305,-0.14095612351522468,-0.30423450712378663,-0.11590149821380742,-0.24828511818288027
2023-02-28,0.3516,17.08,301.18,23129.6,0.08083,1604.72,7.192,21.875,0.376,19733.961,0.1720708275444549,0.19088632048325807,0.0693794964028777,0.07220557777953472,-0.03913937764317732,-0.08031768006098672,-0.04478592205128086,-0.05597610852342553,0.0009457578168234643,0.0011589639831973524,-0.18396271969185307,0.14552094049695863,-0.1621550372884296,0.16185501174157332,1.6256225788599892e-05,2.0817583981830633e-05,-0.21911083424531141,-0.3155426661276619,-0.22060105177715353,-0.3276827795394413,3.4946561981184287e-06,4.131030431952376e-06,-0.15404733620739486,-0.43824490522739357,-0.15210125879963465,-0.38353330571268696,0.013021409795240732,0.014805626780476214,-0.12050938549851065,-0.2557390668731371,-0.12306383415868774,-0.28560549741529306,1.520130049806309e-05,1.880395200041456e-05,-0.19159012436705025,-0.18156789757242442,-0.17055206021191824,-0.1708022672446256,0.0007384477033757609,0.0008191205240821245,-0.09848711921455333,-0.035350316783532176,-0.04187841546381421,0.020291100925074117,0.0003109435528500277,0.0003602469771267395,-0.13686006380940774,-0.30423844963444047,-0.11643665849547333,-0.2595035554117776
2023-03-01,0.3599,17.765,302.48,23619.8,0.0819,1664.46,7.533,22.499,0.3834,19729.915,0.19715670341205205,0.18701551305091899,0.07046884393601978,0.07215841899916825,-0.02341480157939635,-0.06256054243456632,-0.03924993637943392,-0.05591599851397021,0.0009525482857602519,0.0011555608231436228,-0.1756831257320488,0.19840022859325046,-0.16543803807102345,0.17077941115117004,1.6232144217986606e-05,2.0815518217785276e-05,-0.22019024229156714,-0.3054271219078626,-0.22137437768918442,-0.3249600446079984,3.467429868161458e-06,4.1331321929810236e-06,-0.16106485196628262,-0.4212822720531666,-0.1549411041086947,-0.40385040274256007,0.012806204963632209,0.01479953896953945,-0.1346889257841032,-0.25649092940362506,-0.12387043811475758,-0.28155200066027675,1.5237216233837713e-05,1.8762118962095672e-05,-0.1878733812198491,-0.17727273911440378,-0.175317506114866,-0.173880890150954,0.0007521232186555348,0.0008180529550599562,-0.08059348236152919,-0.01024293717480207,-0.05598336503860705,0.00774841542306659,0.00031892734062100443,0.0003600903289310409,-0.11431295150922927,-0.2950825170605945,-0.11636139919235129,-0.2696676564496877
2023-03-02,0.3502,17.464,299.79,23457.1,0.08056,1647.29,7.272,21.991,0.3771,19725.73,0.18916258105530193,0.18379067521523118,0.07022564596646645,0.0721123144107014,-0.026162916273769876,-0.07361798452112234,-0.03615432812795283,-0.05929286008902176,0.0009374986677807573,0.0011520521119490082,-0.18623588459490403,0.16874332202427755,-0.17058850478067922,0.16953078961408075,1.6076156046570122e-05,2.0812502477829978e-05,-0.2275721738077935,-0.3059667077494127,-0.22228949015640445,-0.3196978207004243,3.4343546303677784e-06,4.134643327194282e-06,-0.16937100528613447,-0.4249256993670578,-0.15831237856686925,-0.41456621876902683,0.012780352217452287,0.01479272104887975,-0.13603777322495092,-0.25610154713708333,-0.1244907207602888,-0.2764335864840172,1.4929381722378301e-05,1.871054852095326e-05,-0.20208743716628985,-0.20050586845332752,-0.18146274035387328,-0.17949551620409934,0.0007445080593935312,0.0008169000276470387,-0.08861790403168679,-0.06302997063358673,-0.06858856241177103,-0.01013889804036418,0.000310012746673715,0.000359892070894408,-0.1385952296663061,-0.3035313320059083,-0.12473272757612396,-0.2845817427524276
