date,BTC,SOL,solbtc,solbtc_ma180,solbtc_gap,solbtc_gap_lag1,btc_ma200,btc_ma200_gap
2023-10-06,27916.3,23.391,0.0008378975723860253,0.0007505013769431185,0.11645041318762384,0.10406780829796003,28019.937,-0.0036986878307400106
2023-10-07,27943.0,23.279,0.0008330887878896325,0.0007512113469913678,0.10899388198299609,0.11645041318762384,28019.196500000005,-0.0027194391530822593
2023-10-08,27901.2,23.204,0.0008316488179719868,0.0007515986614712798,0.10650651817820722,0.10899388198299609,28022.533499999998,-0.004329854757779028
2023-10-09,27578.3,22.077,0.0008005206992454213,0.0007516205221667623,0.06505966193909951,0.10650651817820722,28019.004500000003,-0.015728770806257675
2023-10-10,27381.2,22.107,0.0008073787854440273,0.0007516370263074059,0.07416047531674419,0.06505966193909951,28018.715999999997,-0.022753219669309432
2023-10-11,26864.5,21.998,0.0008188501554095554,0.0007516763446303539,0.0893653382324211,0.07416047531674419,28015.801999999996,-0.04109473646337147
2023-10-12,26744.0,21.274,0.0007954681423870775,0.0007516818659024084,0.058251074651246126,0.0893653382324211,28009.7505,-0.045189638515344854
2023-10-13,26849.8,21.829,0.0008130041936997669,0.0007515481677603089,0.08177257104172497,0.058251074651246126,28008.4395,-0.04136751353105561
2023-10-14,26836.3,21.983,0.0008191516714301152,0.0007514555327753164,0.09008668604086223,0.08177257104172497,28006.3725,-0.04177879516527894
2023-10-15,27139.8,21.918,0.0008075962239957553,0.0007513996046183126,0.07478925864751917,0.09008668604086223,28000.379,-0.03073454827165023
2023-10-16,28486.3,23.939,0.0008403688790752046,0.0007516973994803742,0.11796166869291613,0.07478925864751917,28002.7355,0.017268473646083526
2023-10-17,28381.9,23.93,0.0008431429890176486,0.0007520157857512093,0.12117724786243644,0.11796166869291613,28002.370500000005,0.013553477552909143
2023-10-18,28307.1,23.408,0.0008269303460969157,0.0007522785382524085,0.09923426503423616,0.12117724786243644,28001.686999999998,0.010906949999119675
2023-10-19,28696.9,24.91,0.0008680380110743669,0.0007527491810638518,0.1531570314664159,0.09923426503423616,28004.365500000004,0.02472951940296597
2023-10-20,29653.0,27.01,0.0009108690520352073,0.000753485958007354,0.20887329399483945,0.1531570314664159,28013.7,0.05851779664949652
2023-10-21,29895.4,29.312,0.00098048529205162,0.0007546149281800343,0.29931870605361,0.20887329399483945,28022.400999999998,0.06683934756340126
2023-10-22,29981.5,29.031,0.000968297116555209,0.000755688446053739,0.2813443445003403,0.29931870605361,28031.538499999995,0.06956312797458497
2023-10-23,33074.0,31.902,0.0009645643103344016,0.0007568884768288832,0.27438102159463806,0.2813443445003403,28056.794499999996,0.1788231902258115
