date,BTC,ETH,SOL,btc_ma200,btc_ma200_gap,ethbtc,solbtc,ethbtc_ma180,ethbtc_gap,ethbtc_ret90,solbtc_ma180,solbtc_gap,solbtc_ret90,btc_ma200_gap_ma7,ethbtc_gap_ma7,solbtc_gap_ma7,ethbtc_ret90_ma7,solbtc_ret90_ma7
2025-02-16,96067.0,2660.0,188.14,80000.3435,0.20083234392612326,0.027689008712669282,0.0019584248493239092,0.03667320589466031,-0.24497986916652803,-0.2194126151974023,0.0022911718810433987,-0.14523006085774615,-0.26132713282339237,0.2186658229492,-0.2521147547940775,-0.12091694497188674,-0.21135844422358882,-0.17864691629910684
2025-02-17,95743.2,2743.0,177.47,80152.415,0.1945142264272388,0.028649554224216448,0.0018536042246342299,0.03659337030294493,-0.21708347749781298,-0.14921418246578788,0.002288496478393752,-0.19003404980756788,-0.27992673513650657,0.21344511782495884,-0.24510014652523676,-0.1327234938765259,-0.1955758952079943,-0.19785806387109428
2025-02-18,95622.0,2670.57,169.21,80323.10650000001,0.1904669050617458,0.02792840559703834,0.0017695718558490725,0.03650715792451521,-0.2349882273831042,-0.142536426650966,0.0022851488234444297,-0.2256207395797628,-0.29141975137258525,0.2109259355280895,-0.2403571323314305,-0.15034956392557547,-0.18312965074371593,-0.2206421519306764
2025-02-19,96598.0,2714.06,168.85,80502.6735,0.199935304011984,0.028096440920101867,0.0017479657963933,0.03642360329176828,-0.22861995022739423,-0.17706630358934372,0.002281562837375907,-0.2338734801607799,-0.329896714990216,0.20633323943323492,-0.23808939197582688,-0.16579076477427865,-0.1796834506789173,-0.2446554565256677
2025-02-20,98252.9,2736.87,175.9,80703.21549999999,0.2174595447191321,0.027855361012244933,0.0017902779459944694,0.036338652742060724,-0.23345091492609682,-0.17253755684248417,0.002277596823767376,-0.21396187098945452,-0.31117541498678614,0.2068131538154879,-0.23567496618146017,-0.17845884841852264,-0.17803217338185015,-0.2658600175694023
2025-02-21,96127.9,2660.85,168.83,80913.8395,0.1880279145571877,0.027680309254649274,0.001756305921589882,0.03625490290235845,-0.2365085260551445,-0.20353085181203612,0.0022736032778823898,-0.2275231397336448,-0.32710285670470063,0.20183691499641007,-0.23499088243996713,-0.1953613804010508,-0.17975671511699387,-0.29242334976592016
2025-02-22,96503.3,2762.01,171.98,81116.4,0.18968913807812005,0.02862088653963129,0.0017821152230027366,0.03617691863801841,-0.2088633411261972,-0.16630087191214438,0.00226961211015395,-0.2147930410532335,-0.309809756893187,0.1972750538259331,-0.22921347234032544,-0.2072909117403128,-0.1757998297814521,-0.301522623272482
2025-02-23,96218.4,2818.54,167.84,81321.9775,0.1831783111767049,0.029293149750983183,0.0017443649031786022,0.036109895822617394,-0.18877778283050461,-0.2021651989436396,0.0022655763804407918,-0.2300568993223624,-0.3071083898185435,0.19475304914744476,-0.22118460286375066,-0.21940903152097227,-0.1733359131737717,-0.30806280284321785
2025-02-24,91514.5,2512.27,141.73,81471.251,0.12327353362967264,0.02745215239115113,0.0015487163236427013,0.0360244716489935,-0.23795822299261604,-0.2407404803340154,0.0022606335035515786,-0.3149193262819544,-0.38232980408072437,0.18457580731922102,-0.22416670936300825,-0.2372497853030275,-0.18641109858351848,-0.32269181269239183
2025-02-25,88639.1,2494.45,144.24,81610.4035,0.08612500610905571,0.028141644037450737,0.0016272728400897572,0.035944230639439294,-0.21707479790726913,-0.2617564034540192,0.0022565679245750954,-0.2788726533032825,-0.35524095359067887,0.169669821754551,-0.22160764800931748,-0.24485720154924456,-0.2034425238410975,-0.33180912729497664
2025-02-26,84208.5,2335.33,135.27,81726.99650000001,0.030363326761922327,0.02773271106836008,0.0016063699032757978,0.03586093068976291,-0.22665947216264426,-0.2590239095426944,0.002252526453066817,-0.2868585844624717,-0.3530277606395813,0.14544525357597077,-0.2213275797143532,-0.252426502163772,-0.21515075326300476,-0.33511356238774315
2025-02-27,84668.1,2306.66,137.6,81856.87150000001,0.034343219432714234,0.02724355453824994,0.0016251693376844406,0.035775524257255095,-0.2384862247623084,-0.2609011997723347,0.0022488057051386653,-0.27731891911745665,-0.34899564293280805,0.11928577853505394,-0.2220469096909549,-0.26147750903920086,-0.22777413082441195,-0.34051645209431763
2025-02-28,84299.6,2236.59,148.1,81981.7515,0.028272737012699833,0.02653144261657232,0.0017568292138989982,0.03568771653153753,-0.256566538990348,-0.30927952668487,0.002246108767509096,-0.21783431002439924,-0.28704717917878575,0.09646361031441282,-0.22491234011026967,-0.26009339050930863,-0.24288108437767392,-0.3347942124477584
