symbol,window,is_listing_censored,obs,mean_pnl,std_pnl,return_net,sharpe_net,full_30_obs
METIS,14-29,False,16,-0.02425844483844491,0.03781678979550523,-0.3881351174151186,,False
METIS,30-59,False,30,-0.010716600097702986,0.06386408125088675,-0.3214980029310896,-3.205876501763274,True
METIS,60-89,False,30,0.002461600561649856,0.07234012742649218,0.07384801684949568,0.6501068545192698,True
METIS,90-119,False,30,-0.011109050265656107,0.04836720292372319,-0.3332715079696832,-4.38805832238665,True
METIS,120-149,False,30,-0.01364964293223243,0.06633241623275851,-0.4094892879669729,-3.9313517714677046,True
METIS,150-179,False,30,-0.00954847574572242,0.04782253734173504,-0.2864542723716726,-3.8145900054658397,True
MINA,14-29,False,16,0.0025983426501029186,0.05119947683417439,0.0415734824016467,,False
MINA,30-59,False,30,0.002935643403373937,0.05668574158578372,0.0880693021012181,0.989409098346317,True
MINA,60-89,False,30,-0.005070751436789713,0.041440315366230863,-0.1521225431036914,-2.3377372811594284,True
MINA,90-119,False,30,-0.006774301811174454,0.03029871324887144,-0.2032290543352336,-4.2715627332314305,True
MINA,120-149,False,30,0.001464524083873397,0.04618462055384307,0.04393572251620191,0.605822739265634,True
MINA,150-179,False,30,0.004951917967277402,0.03343946074435914,0.14855753901832208,2.8291801907520377,True
MIRA,14-29,False,16,0.011343194723057412,0.10055050641785711,0.1814911155689186,,False
MIRA,30-59,False,30,-0.001566416319743766,0.05823228675339422,-0.046992489592312975,-0.5139132161442443,True
MIRA,60-89,False,30,0.0015709460644758107,0.0427557212881811,0.04712838193427432,0.7019617846737242,True
MIRA,90-119,False,30,-0.011334425018782065,0.03051851364821015,-0.34003275056346194,-7.095492540325535,True
MIRA,120-149,False,30,0.012829388626217303,0.06331085626977764,0.3848816587865191,3.871454912965228,True
MIRA,150-179,False,28,-0.015565591970847193,0.05431780355768159,-0.4358365751837214,-5.474820364065679,False
MITO,14-29,False,16,-0.025887322071772845,0.13238564377692824,-0.4141971531483655,,False
MITO,30-59,False,30,0.0191831434442909,0.09609865157406888,0.575494303328727,3.813720951371582,True
MITO,60-89,False,30,-0.02450504005033727,0.09175731228474458,-0.7351512015101181,-5.102243310592558,True
MITO,90-119,False,30,0.00048231467138833996,0.045658206984741136,0.014469440141650199,0.20181714235169507,True
MITO,120-149,False,30,-0.004719455851133503,0.03629514537216087,-0.14158367553400508,-2.4842186609205075,True
MITO,150-179,False,30,-0.019984359774645414,0.05421836443832517,-0.5995307932393624,-7.041906582027593,True
MLN,14-29,False,16,0.0014665646601547374,0.04263864765478736,0.023465034562475798,,False
MLN,30-59,False,30,-0.011493480907341194,0.04143469571486355,-0.3448044272202358,-5.299487316811745,True
MLN,60-89,False,30,0.0019046999036236,0.03282267557934054,0.057140997108708,1.1086616164584546,True
MLN,90-119,False,30,-0.00815664148357315,0.028431698305936778,-0.2446992445071945,-5.4809394451645845,True
MLN,120-149,False,30,-0.01448939851016172,0.05545897380584122,-0.4346819553048516,-4.991429715613383,True
MLN,150-179,False,30,0.004296212715795543,0.029647893904233183,0.1288863814738663,2.7684606856908687,True
MMT,14-29,False,16,0.009182243570528088,0.10262184380554623,0.1469158971284494,,False
MMT,30-59,False,30,0.008337646027505585,0.04896631788580131,0.25012938082516756,3.2530627290747702,True
MMT,60-89,False,30,0.002421135624402916,0.060110293739850246,0.07263406873208748,0.7695143090855054,True
MMT,90-119,False,30,-0.0018935242436713602,0.05638305400644621,-0.0568057273101408,-0.6416064279978848,True
MMT,120-149,False,19,-0.001126034941321805,0.039345479891502624,-0.021394663885114296,,False
MORPHO,14-29,False,16,0.0006128794625273369,0.039179435297723504,0.009806071400437391,,False
MORPHO,30-59,False,30,0.017638525809227753,0.049192766986908935,0.5291557742768326,6.85026647339139,True
MORPHO,60-89,False,30,0.012037593364521612,0.03569325578766777,0.36112780093564834,6.443175138836691,True
MORPHO,90-119,False,30,0.005555953094746737,0.03788314010100614,0.1666785928424021,2.801941300302488,True
MORPHO,120-149,False,30,0.003779230285623063,0.07453423353406584,0.1133769085686919,0.9687104811274192,True
MORPHO,150-179,False,21,0.0027497535995422953,0.040480742122213254,0.0577448255903882,1.2977521162348147,False
MOVE,14-29,False,16,-0.009026709023845088,0.08143508537537776,-0.1444273443815214,,False
MOVE,30-59,False,30,0.002887948276105737,0.05900468046813409,0.0866384482831721,0.9350813173925149,True
MOVE,60-89,False,30,-0.012681493601434097,0.07279998333912129,-0.38044480804302294,-3.3280171774206746,True
MOVE,90-119,False,30,-0.013268515540349253,0.0703907595467648,-0.3980554662104776,-3.6012487306088103,True
MOVE,120-149,False,30,-0.001618153084249947,0.06822534796189904,-0.04854459252749841,-0.45312735208274085,True
MOVE,150-179,False,30,-0.01429340278745348,0.053410104066882916,-0.4288020836236044,-5.11279806692148,True
MOVR,14-29,False,16,0.023908676788296855,0.049590244202435435,0.3825388286127497,,False
MOVR,30-59,False,30,0.0006715610596984158,0.03344885499714111,0.020146831790952474,0.3835753430633834,True
MOVR,60-89,False,30,0.012217950179624395,0.05578547183934019,0.36653850538873184,4.184308256850002,True
MOVR,90-119,False,30,-0.004129345602286759,0.06487611909519513,-0.12388036806860278,-1.2160258360144058,True
MOVR,120-149,False,30,0.011486714315677037,0.061321062716482425,0.3446014294703111,3.578760040074451,True
MOVR,150-179,False,30,0.010479765749113412,0.05318470381211135,0.31439297247340237,3.764534333398141,True
MTL,14-29,False,16,0.006865882732941814,0.10551934956677254,0.10985412372706903,,False
MTL,30-59,False,30,0.021290243848540467,0.10734287622556898,0.6387073154562141,3.789255066643659,True
MTL,60-89,False,30,-0.009563353932748212,0.09403735620770716,-0.28690061798244637,-1.9429259574275284,True
MTL,90-119,False,30,-0.004004741489922483,0.0812994159653245,-0.12014224469767448,-0.9410950598781735,True
MTL,120-149,False,30,-0.028859075415426105,0.06850921705097718,-0.8657722624627832,-8.047849404607364,True
MTL,150-179,False,30,0.02172922824029652,0.1587007024439807,0.6518768472088956,2.615844266857738,True
MUBARAK,14-29,False,16,-0.002147140487136493,0.0962539523258025,-0.03435424779418389,,False
MUBARAK,30-59,False,30,0.05539065162112799,0.18974330199138664,1.6617195486338396,5.577203001295583,True
MUBARAK,60-89,False,30,-0.01620451862179535,0.07240364641464188,-0.4861355586538605,-4.275846713614868,True
MUBARAK,90-119,False,30,0.0039789675447485925,0.06940827595380429,0.11936902634245777,1.0952306070156999,True
MUBARAK,120-149,False,30,0.01318210419046272,0.057181332630227955,0.3954631257138816,4.404300063648491,True
MUBARAK,150-179,False,30,0.015674718182222755,0.07581249951868578,0.4702415454666826,3.9500751497590945,True
NEAR,14-29,True,16,0.007278207668584138,0.10595837814821789,0.1164513226973462,,False
NEAR,30-59,True,30,-0.012154678271985374,0.10476570827217253,-0.3646403481595612,-2.2165153671104307,True
NEAR,60-89,True,30,-0.00801002826976217,0.08240879628504236,-0.2403008480928651,-1.8569786493643001,True
NEAR,90-119,True,30,-0.004614571601203648,0.0657038369888932,-0.13843714803610943,-1.341797841546237,True
NEAR,120-149,True,30,0.0014705919388581063,0.1128266187904395,0.04411775816574319,0.24901587802402286,True
NEAR,150-179,True,30,0.007430606600254063,0.07568644422575332,0.2229181980076219,1.875653443898085,True
NEIRO,14-29,False,16,0.003938983629052388,0.1436677709749541,0.06302373806483821,,False
NEIRO,30-59,False,30,0.023445348067341186,0.12496342383389138,0.7033604420202356,3.58443080504722,True
NEIRO,60-89,False,30,0.0004718478081580606,0.07570811655424176,0.014155434244741819,0.11907098112615105,True
NEIRO,90-119,False,30,-0.011343960124290446,0.08183457887073778,-0.34031880372871337,-2.648343241430776,True
NEIRO,120-149,False,30,-0.030114607480596498,0.09117384974682562,-0.9034382244178949,-6.310348522918585,True
NEIRO,150-179,False,30,-0.009082134121186764,0.07969224128137604,-0.2724640236356029,-2.1773001482068106,True
NEO,14-29,True,16,0.0184061763496347,0.062014890828748837,0.2944988215941552,,False
NEO,30-59,True,30,-0.004086309167041451,0.08896995829181432,-0.12258927501124353,-0.8774740206481356,True
NEO,60-89,True,30,0.005608073735423251,0.05074363872728221,0.16824221206269752,2.11143900917209,True
NEO,90-119,True,30,0.0016620688512803854,0.08660173010234984,0.04986206553841156,0.36666450867005634,True
NEO,120-149,True,30,0.025429162898695575,0.13475031412677418,0.7628748869608672,3.6053606121733512,True
NEO,150-179,True,30,-0.007997131642436862,0.07575332078694928,-0.23991394927310583,-2.0168750876511448,True
NEWT,14-29,False,16,-0.008605185425100675,0.0447872128265478,-0.1376829668016108,,False
NEWT,30-59,False,30,0.011401558528386339,0.095545994238676,0.34204675585159017,2.2798074536611694,True
NEWT,60-89,False,30,-0.008969293370454481,0.030760720698068338,-0.2690788011136344,-5.5706792737108435,True
NEWT,90-119,False,30,0.011555608389840573,0.07221148277024614,0.3466682516952172,3.057264299721474,True
NEWT,120-149,False,30,0.009590403015773304,0.04537716036013765,0.2877120904731991,4.037810891982566,True
NEWT,150-179,False,30,0.0029849709918819134,0.035612646927089396,0.0895491297564574,1.601335358291303,True
NFP,14-29,False,16,0.0173216083738615,0.07612239087399324,0.277145733981784,,False
NFP,30-59,False,30,-0.0025989856682576296,0.05223934805042026,-0.07796957004772889,-0.9505009791691637,True
NFP,60-89,False,30,0.008144278814445212,0.0986712660388201,0.24432836443335637,1.5769152917806588,True
NFP,90-119,False,30,0.0020153449010718036,0.0756779114985166,0.06046034703215411,0.5087760683404051,True
NFP,120-149,False,30,-0.0005642261542565736,0.052135405093401,-0.016926784627697207,-0.20676017616312137,True
NFP,150-179,False,30,-0.005104291717136527,0.05425507503017759,-0.1531287515140958,-1.7973868117718672,True
NIL,14-29,False,16,0.044320710042389064,0.07601230267881857,0.709131360678225,,False
NIL,30-59,False,30,0.023788183146689002,0.06674643667011829,0.71364549440067,6.808941773697222,True
