symbol,ret_m1_14_29,ret_m2_30_59,cum_m2_end_14_59,is_listing_censored
RDNT,0.1167863874266825,-0.022940420689422508,0.09384596673726,False
RED,0.153870071599773,-0.4200277057954763,-0.2661576341957033,False
RENDER,-0.23669560442297,-0.14972040077352633,-0.3864160051964963,False
RESOLV,-0.3288655903493663,0.0547185843158258,-0.2741470060335405,False
REZ,-0.0962918817542005,-0.12721829939503868,-0.2235101811492392,False
RIF,0.3538855826781273,0.06889335504222874,0.422778937720356,False
RLC,0.02262688212818009,-0.6381273238306125,-0.6155004417024325,True
RONIN,-0.054682107901984495,-0.19463080802277122,-0.24931291592475568,False
ROSE,0.7207555142208547,0.6199057886864032,1.340661302907258,False
RPL,-0.0994988288833345,0.08405490583322581,-0.015443923050108674,False
RSR,0.3293222898811999,-0.40271180210466206,-0.07338951222346217,True
RUNE,-0.20510619849023648,-0.06842105875552028,-0.27352725724575677,True
RVN,0.1930885719005358,-0.4154934945253659,-0.2224049226248301,False
S,-0.4118894759344077,-0.31824554748522843,-0.7301350234196361,False
SAGA,-0.38534712627255263,-0.3521764493105189,-0.7375235755830716,False
SAHARA,-1.0459058650905153,-0.2949485061537602,-1.3408543712442755,False
SAND,0.6200643580389581,0.11822268236953379,0.7382870404084919,False
SANTOS,0.1930025650262542,0.1663619877763814,0.35936455280263563,False
SAPIEN,-0.5568802768078676,-0.4342379403046957,-0.9911182171125633,False
SCR,0.2419337953626812,0.2376404350183201,0.4795742303810013,False
SCRT,-0.05986164739052869,-0.03247268527139763,-0.09233433266192631,False
SEI,0.2880417923868489,-0.05439824131798461,0.23364355106886428,False
SFP,-0.6116828615773946,-0.1924086332266134,-0.804091494804008,False
SHELL,0.47351804318230173,-0.41378052200910076,0.0597375211732009,False
SIGN,-0.21922286023378051,0.19029447952735157,-0.028928380706428933,False
SKL,0.7799241850571892,0.5351016526691752,1.3150258377263646,True
SKY,0.06511429821397781,-0.2398375519274425,-0.1747232537134647,False
SLP,-0.047585736235865095,0.18528679620913258,0.13770105997326748,False
SNX,0.3993495376562795,-0.896229509874613,-0.4968799722183335,True
SOL,-0.11574207249516132,0.6601908498444907,0.5444487773493295,True
SOLV,0.8019232572355353,0.22143159472610335,1.0233548519616387,False
SOMI,0.12700057848071208,-0.061249820705893715,0.06575075777481837,False
SOPH,-0.023087487080762907,0.11096452351810207,0.08787703643733918,False
