sample_set,symbol,early,late,diff
S_all,CTSI,0.8669115417976561,-3.8338339140742868,4.700745455871942
S_all,CVC,3.530898643487893,-5.236480072398424,8.767378715886316
S_all,CVX,-0.3394103522681118,0.5543654916356457,-0.8937758439037575
S_all,CYBER,-4.447421495516392,-0.975341886028261,-3.472079609488131
S_all,D,-1.1768340210941006,-2.7793669975015165,1.6025329764074159
S_all,DASH,-0.8727558979587926,1.4961815559735456,-2.3689374539323382
S_all,DEGO,0.8810878959861864,3.3056752566345082,-2.4245873606483217
S_all,DENT,2.080123925484104,1.666642869690596,0.413481055793508
S_all,DEXE,1.020654924925502,-3.745563882543765,4.766218807469267
S_all,DIA,1.3735419782910978,3.0634634150219116,-1.6899214367308137
S_all,DOGE,-2.5846109295237345,-0.309293043924471,-2.2753178855992635
S_all,DOGS,-1.3387239224289913,-4.93171708633265,3.592993163903659
S_all,DOLO,-1.6047764239239877,-1.7011437237554392,0.09636729983145154
S_all,DOT,-1.8702297874379643,-0.11280265675989765,-1.7574271306780667
S_all,DUSK,2.4193617519614494,-0.9629738442508304,3.38233559621228
S_all,DYDX,3.2503856655099486,2.5481122173778266,0.702273448132122
S_all,DYM,2.533504403377631,3.936885021818477,-1.403380618440846
S_all,EDEN,0.501932783715989,-1.6021594225620852,2.1040922062780743
S_all,EDU,2.5373997331330296,1.826642526851718,0.7107572062813117
S_all,EGLD,1.42343399409611,0.48032348923293977,0.9431105048631703
S_all,EIGEN,-0.6669198514129997,0.29901146615859897,-0.9659313175715987
S_all,ENA,-2.02209993579776,-2.9257124886289065,0.9036125528311465
S_all,ENJ,-5.054694781438815,3.7476139191778364,-8.802308700616651
S_all,ENS,-1.0692711961442924,1.7621428452498584,-2.831414041394151
S_all,ENSO,-1.4244539217305037,1.3180431522149256,-2.7424970739454295
S_all,EPIC,0.21815630233374828,1.0545873806259998,-0.8364310782922515
S_all,ERA,3.4468713428125866,1.5106415221464051,1.9362298206661814
S_all,ETC,-3.9414018017492336,-0.681207943476017,-3.2601938582732166
S_all,ETH,0.10569562636148211,1.2945972280363898,-1.1889016016749077
S_all,ETHFI,0.5566999140778139,-6.876341559627765,7.433041473705579
S_all,EUL,-0.6332107878968416,-3.6101783628287625,2.976967574931921
S_all,F,-0.8845248594945481,4.2971702526589155,-5.181695112153464
S_all,FET,-0.38672114811256986,-2.1425586293662158,1.755837481253646
S_all,FF,3.2778203955382477,-0.2811868645891249,3.5590072601273723
S_all,FIDA,4.940370657645013,5.594334324133035,-0.6539636664880222
S_all,FIL,0.17893704170724867,1.9603228774331711,-1.7813858357259225
S_all,FIO,2.7579059802183457,-0.9600914195637292,3.717997399782075
S_all,FLOW,-1.6056205180257288,1.877117857957843,-3.4827383759835717
S_all,FLUX,0.9894086424838557,-0.7903538166143483,1.7797624590982042
S_all,FORM,0.5098128886374502,-4.636338021525407,5.146150910162857
S_all,FORTH,1.382769148441087,2.3127767240191597,-0.9300075755780728
S_all,FUN,3.0868955645297884,-0.8388682688449982,3.925763833374787
S_all,G,-0.7746683892746389,0.3936219010463756,-1.1682902903210146
S_all,GALA,0.9947375816188911,2.6709868794657963,-1.6762492978469052
S_all,GAS,-1.786971239140146,-0.5734226530164858,-1.2135485861236601
S_all,GIGGLE,1.784986283683811,-2.2316832066181242,4.016669490301935
S_all,GLM,-1.916639421831741,-1.0227905962479564,-0.8938488255837846
S_all,GMT,3.132437618124128,0.7243137615342982,2.4081238565898295
S_all,GMX,2.635591473706171,3.7883699444474495,-1.1527784707412785
S_all,GPS,-2.1284450815933416,3.738369659067823,-5.866814740661164
S_all,GRT,0.747412415279181,1.16455227869618,-0.41713986341699894
S_all,GTC,3.3789523324029616,-1.3637288131312226,4.742681145534184
S_all,GUN,4.78897267679091,3.3120151569725946,1.4769575198183151
S_all,HAEDAL,-0.8379639011714193,-1.7800996089332046,0.9421357077617853
S_all,HBAR,1.7820245734591795,-3.7332074216668305,5.51523199512601
S_all,HEI,-3.8374812577363864,-1.7656981346413325,-2.071783123095054
S_all,HEMI,-0.9113932827133424,-0.14333599377413542,-0.768057288939207
S_all,HFT,0.28646191842997504,1.9644692448583037,-1.6780073264283286
S_all,HIGH,-1.0725732692582546,-0.8585701514996515,-0.21400311775860303
S_all,HIVE,-3.5553038882309713,-1.9989668915715901,-1.5563369966593812
S_all,HMSTR,-1.4002031888317212,-1.8610479611789028,0.4608447723471816
S_all,HOLO,2.84095217383893,-0.7445950717527878,3.5855472455917177
S_all,HOME,0.2945167071816775,0.08229642344113952,0.21222028374053797
S_all,HOOK,-2.011835875795386,2.67719238337261,-4.689028259167996
S_all,HOT,1.4285610507317612,-4.02982609586471,5.458387146596471
S_all,HUMA,-3.506338849841793,2.85034686656837,-6.356685716410163
S_all,HYPER,1.2421274028682672,0.11057323030429278,1.1315541725639744
S_all,ICP,3.356144442350645,7.035998974539619,-3.679854532188974
S_all,ICX,-3.1058337905260776,-1.6362532039018547,-1.4695805866242229
S_all,ID,3.694247706252998,-3.960858359560295,7.655106065813293
S_all,ILV,2.5343916214445805,-1.612005520574996,4.146397142019577
S_all,IMX,-3.3416290297032303,5.992309485873166,-9.333938515576396
S_all,INIT,1.140521426093247,1.3596631269889154,-0.21914170089566842
