mode,idio_th,close_loc_th,volz_th,risk_n,risk_rate,total_bps,maxdd_bps,worst_day_bps,mean_active_day_bps,win_rate_active_day,score_total_dd
skip,10.0,0.7,3.0,278,0.12858464384828863,74841.44467218862,-18879.44937058351,-7360.891577610625,69.23352883643719,0.5180388529139686,70121.58232954274
half,10.0,0.7,3.0,278,0.12858464384828863,91241.51332293077,-20322.75166604496,-7360.891577610625,84.40473017847434,0.547641073080481,86160.82540641954
skip,10.0,0.8,1.0,423,0.1956521739130435,57083.96848618667,-21563.144001356868,-6543.174522744356,52.80663134707369,0.4921369102682701,51693.18248584745
half,10.0,0.8,1.0,423,0.1956521739130435,82362.7752299298,-21351.727173630257,-6930.833698596435,76.19128143379258,0.5467160037002775,77024.84343652223
skip,10.0,0.8,1.5,336,0.15541165587419056,70982.20739697388,-20885.690430070194,-7360.891577610625,65.66346660219601,0.5069380203515264,65760.78478945633
half,10.0,0.8,1.5,336,0.15541165587419056,89311.89468532341,-21054.792741085832,-7360.891577610625,82.61969906135376,0.5467160037002775,84048.19650005196
skip,10.0,0.8,2.0,292,0.13506012950971322,74165.19618922361,-19342.14559245641,-7360.891577610625,68.6079520714372,0.5124884366327475,69329.65979110952
half,10.0,0.8,2.0,292,0.13506012950971322,90903.38908144826,-20554.099776981402,-7360.891577610625,84.09194179597434,0.545790934320074,85764.86413720291
skip,10.0,0.8,2.5,263,0.12164662349676225,71499.6953063441,-21445.104652436603,-10183.214204984763,66.14217882177994,0.513413506012951,66138.41914323495
half,10.0,0.8,2.5,263,0.12164662349676225,89570.63864000852,-21605.579306971496,-10183.214204984763,82.8590551711457,0.5467160037002775,84169.24381326564
skip,10.0,0.8,3.0,232,0.10730804810360776,80374.51253648056,-20679.16707891575,-10183.214204984763,74.35200049628173,0.5217391304347826,75204.72076675162
half,10.0,0.8,3.0,232,0.10730804810360776,94008.04725507676,-21222.610520211067,-10183.214204984763,86.96396600839661,0.5467160037002775,88702.394625024
skip,10.0,0.9,1.0,323,0.14939870490286772,61721.720411175076,-20401.482680576195,-7360.891577610625,57.09687364586037,0.509713228492137,56621.34974103103
half,10.0,0.9,1.0,323,0.14939870490286772,84681.651192424,-20470.85767890395,-7360.891577610625,78.33640258318594,0.5467160037002775,79563.93677269801
skip,10.0,0.9,1.5,262,0.1211840888066605,75101.91202061983,-19198.9858278265,-7360.891577610625,69.47447920501372,0.5189639222941721,70302.1655636632
half,10.0,0.9,1.5,262,0.1211840888066605,91371.74699714637,-20426.151737996548,-7360.891577610625,84.5252053627626,0.5467160037002775,86265.20906264723
skip,10.0,0.9,2.0,233,0.10777058279370953,80036.17896509252,-18985.439747086053,-7360.891577610625,74.03901846909575,0.5263644773358002,75289.81902832101
half,10.0,0.9,2.0,233,0.10777058279370953,93838.88046938271,-20319.378697626347,-7360.891577610625,86.80747499480361,0.547641073080481,88759.03579497612
skip,10.0,0.9,2.5,197,0.09111933395004625,81708.95230472897,-20187.99020907428,-10183.214204984763,75.58644986561421,0.5282146160962072,76661.9547524604
half,10.0,0.9,2.5,197,0.09111933395004625,94675.26713920095,-20920.65392862045,-10183.214204984763,87.58119069306287,0.5485661424606846,89445.10365704584
skip,10.0,0.9,3.0,164,0.07585568917668825,89869.05013994206,-20528.17571322636,-10183.214204984763,83.13510651243485,0.5319148936170213,84737.00621163547
half,10.0,0.9,3.0,164,0.07585568917668825,98755.3160568075,-21090.070157417515,-10183.214204984763,91.35551901647317,0.5485661424606846,93482.79851745312
skip,12.5,0.7,1.0,446,0.2062904717853839,49532.3594083729,-19529.76373578164,-6543.174522744356,45.82086901792126,0.4921369102682701,44649.91847442749
half,12.5,0.7,1.0,446,0.2062904717853839,78586.9706910229,-20750.750411144738,-6930.833698596435,72.69840026921638,0.5448658649398704,73399.28308823671
skip,12.5,0.7,1.5,320,0.14801110083256244,61398.42607823992,-18845.72615429349,-7360.891577610625,56.79780395766875,0.5106382978723404,56686.99453966655
half,12.5,0.7,1.5,320,0.14801110083256244,84520.00402595643,-20548.50127166293,-7360.891577610625,78.18686773909012,0.5467160037002775,79382.87870804069
skip,12.5,0.7,2.0,263,0.12164662349676225,65655.65360660282,-18381.981199229598,-7360.891577610625,60.736034788716765,0.5180388529139686,61060.15830679542
half,12.5,0.7,2.0,263,0.12164662349676225,86648.61779013788,-20316.62879413099,-7360.891577610625,80.15598315461412,0.5467160037002775,81569.46059160514
skip,12.5,0.7,2.5,231,0.10684551341350601,72255.282441167,-18312.494008207315,-7360.891577610625,66.84114934428031,0.5198889916743756,67677.15893911518
half,12.5,0.7,2.5,231,0.10684551341350601,89948.43220741997,-20281.885198619835,-7360.891577610625,83.20854043239589,0.547641073080481,84877.96090776501
skip,12.5,0.7,3.0,199,0.09204440333024977,80669.06827861216,-16659.669400126833,-7360.891577610625,74.6244849940908,0.5291396854764108,76504.15092858045
half,12.5,0.7,3.0,199,0.09204440333024977,94155.32512614253,-19383.72755701313,-7360.891577610625,87.10020825730113,0.547641073080481,89309.39323688924
skip,12.5,0.8,1.0,350,0.16188714153561518,58828.074899578816,-20223.586435950685,-6543.174522744356,54.42005078591934,0.5087881591119334,53772.178290591146
half,12.5,0.8,1.0,350,0.16188714153561518,83234.82843662586,-21237.43141249153,-6930.833698596435,76.99799115321542,0.545790934320074,77925.47058350297
skip,12.5,0.8,1.5,255,0.11794634597594819,71835.07049342107,-19238.62198810726,-7360.891577610625,66.45242413822486,0.5217391304347826,67025.41499639425
half,12.5,0.8,1.5,255,0.11794634597594819,89738.326233547,-20744.94918856981,-7360.891577610625,83.01417782936818,0.5467160037002775,84552.08893640456
skip,12.5,0.8,2.0,215,0.09944495837187789,78583.57392452692,-18237.23605989839,-7360.891577610625,72.69525802453921,0.5245143385753932,74024.26490955232
half,12.5,0.8,2.0,215,0.09944495837187789,93112.57794909991,-20244.256224465385,-7360.891577610625,86.13559477252535,0.545790934320074,88051.51389298357
skip,12.5,0.8,2.5,189,0.08741905642923219,80514.16657195162,-19657.055226791683,-10183.214204984763,74.48119016831787,0.5245143385753932,75599.90276525369
half,12.5,0.8,2.5,189,0.08741905642923219,94077.87427281227,-20954.16580791203,-10183.214204984763,87.02856084441468,0.5467160037002775,88839.33282083427
skip,12.5,0.8,3.0,158,0.0730804810360777,88089.00629646717,-18891.11765327082,-10183.214204984763,81.48844245741645,0.5319148936170213,83366.22688314946
half,12.5,0.8,3.0,158,0.0730804810360777,97865.29413507004,-20571.19702115159,-10183.214204984763,90.53218698896397,0.5467160037002775,92722.49487978214
skip,12.5,0.9,1.0,242,0.11193339500462535,63065.78232535072,-18416.284311369298,-7360.891577610625,58.340224167761995,0.5180388529139686,58461.7112475084
half,12.5,0.9,1.0,242,0.11193339500462535,85353.68214951182,-20333.780350200843,-7360.891577610625,78.95807784413674,0.5448658649398704,80270.23706196161
skip,12.5,0.9,1.5,193,0.08926919518963922,76651.59665449552,-18841.645385098676,-7360.891577610625,70.90804500878401,0.5263644773358002,71941.18530822084
half,12.5,0.9,1.5,193,0.08926919518963922,92146.58931408421,-20546.460887065517,-7360.891577610625,85.24198826464776,0.545790934320074,87009.97409231783
skip,12.5,0.9,2.0,172,0.07955596669750231,81262.34473044302,-18628.099304358264,-7360.891577610625,75.1733068736753,0.5309898242368177,76605.31990435346
half,12.5,0.9,2.0,172,0.07955596669750231,94451.96335205797,-20439.687846695313,-7360.891577610625,87.3746191970934,0.5467160037002775,89342.04139038414
skip,12.5,0.9,2.5,143,0.06614246068455135,87607.56858188463,-19147.509873259594,-10183.214204984763,81.04307916918096,0.5328399629972248,82820.69111356973
half,12.5,0.9,2.5,143,0.06614246068455135,97624.57527777876,-20699.393131145964,-10183.214204984763,90.30950534484624,0.547641073080481,92449.72699499226
skip,12.5,0.9,3.0,116,0.05365402405180388,97339.31339903129,-19983.78359953074,-10183.214204984763,90.04561831547761,0.5365402405180388,92343.3674991486
half,12.5,0.9,3.0,116,0.05365402405180388,102490.44768635211,-20868.80935994302,-10183.214204984763,94.81077491799454,0.547641073080481,97273.24534636636
skip,15.0,0.7,1.0,409,0.18917668825161887,50064.76429684392,-20079.346303272396,-6543.174522744356,46.313380478116486,0.4967622571692877,45044.927721025815
half,15.0,0.7,1.0,409,0.18917668825161887,78853.17313525842,-21165.311346152415,-6930.833698596435,72.94465599931397,0.5448658649398704,73561.84529872032
skip,15.0,0.7,1.5,278,0.12858464384828863,63750.24212625086,-19674.84802430882,-7360.891577610625,58.97339697155491,0.5143385753931545,58831.53012017365
half,15.0,0.7,1.5,278,0.12858464384828863,85695.9120499619,-20963.0622066706,-7360.891577610625,79.2746642460332,0.545790934320074,80455.14649829426
skip,15.0,0.7,2.0,215,0.09944495837187789,66201.84245639147,-19162.825268764325,-7360.891577610625,61.24129736946481,0.5208140610545791,61411.13613920039
half,15.0,0.7,2.0,215,0.09944495837187789,86921.7122150322,-20624.416688768448,-7360.891577610625,80.40861444498816,0.545790934320074,81765.60804284009
skip,15.0,0.7,2.5,184,0.0851063829787234,75639.06884458422,-19093.33807774203,-7360.891577610625,69.97138653523056,0.5226641998149861,70865.73432514872
half,15.0,0.7,2.5,184,0.0851063829787234,91640.32540912856,-20589.67309325729,-7360.891577610625,84.77365902787102,0.545790934320074,86492.90713581424
skip,15.0,0.7,3.0,158,0.0730804810360777,80837.27714873389,-18357.45592934235,-7360.891577610625,74.78008986931904,0.5300647548566142,76247.9131663983
half,15.0,0.7,3.0,158,0.0730804810360777,94239.4295612034,-20232.620821620883,-7360.891577610625,87.17801069491527,0.545790934320074,89181.27435579819
skip,15.0,0.8,1.0,314,0.1452358926919519,59927.22703331004,-21052.70830596602,-6543.174522744356,55.43684276901945,0.5143385753931545,54664.04995681853
half,15.0,0.8,1.0,314,0.1452358926919519,83784.40450349149,-21651.992347499196,-6930.833698596435,77.50638714476547,0.5467160037002775,78371.4064166167
skip,15.0,0.8,1.5,216,0.09990749306197964,73226.95886018826,-20067.743858122605,-7360.891577610625,67.74001744698266,0.5263644773358002,68210.0228956576
half,15.0,0.8,1.5,216,0.09990749306197964,90434.2704169306,-21159.51012357748,-7360.891577610625,83.6579744837471,0.5467160037002775,85144.39288603622
skip,15.0,0.8,2.0,170,0.0786308973172988,78169.83509307179,-18852.811849173322,-7360.891577610625,72.3125209001589,0.5282146160962072,73456.63213077845
half,15.0,0.8,2.0,170,0.0786308973172988,92905.70853337235,-20552.044119102826,-7360.891577610625,85.9442262103352,0.545790934320074,87767.69750359665
skip,15.0,0.8,2.5,145,0.06706753006475485,82938.0252941251,-20272.63101606662,-10183.214204984763,76.72342765413975,0.5282146160962072,77869.86754010843
half,15.0,0.8,2.5,145,0.06706753006475485,95289.80363389899,-21261.953702549472,-10183.214204984763,88.14967958732562,0.545790934320074,89974.31520826163
skip,15.0,0.8,3.0,120,0.05550416281221091,87297.28748534515,-20588.904182486345,-10183.214204984763,80.75604762751632,0.5337650323774283,82150.06143972356
half,15.0,0.8,3.0,120,0.05550416281221091,97469.43472950904,-21420.090285759346,-10183.214204984763,90.1659895740139,0.545790934320074,92114.4121580692
skip,15.0,0.9,1.0,195,0.09019426456984274,68728.74845906443,-19166.674059989393,-7360.891577610625,63.578860739190034,0.5263644773358002,63937.07994406708
half,15.0,0.9,1.0,195,0.09019426456984274,88185.16521636868,-20708.97522451086,-7360.891577610625,81.57739612985077,0.545790934320074,83007.92141024096
skip,15.0,0.9,1.5,153,0.07076780758556891,80489.92821540519,-19592.035133718757,-7360.891577610625,74.4587680068503,0.5300647548566142,75591.9194319755
half,15.0,0.9,1.5,153,0.07076780758556891,94065.75509453904,-20921.655761375543,-7360.891577610625,87.0173497636809,0.545790934320074,88835.34115419515
skip,15.0,0.9,2.0,134,0.061979648473635525,83060.58395406883,-19592.035133718757,-7360.891577610625,76.83680291773248,0.5337650323774283,78162.57517063915
half,15.0,0.9,2.0,134,0.061979648473635525,95351.08296387087,-20921.655761375543,-7360.891577610625,88.206367219122,0.5467160037002775,90120.66902352698
skip,15.0,0.9,2.5,110,0.05087881591119334,87675.3065362775,-20315.379508610542,-10183.214204984763,81.10574147666743,0.5346901017576319,82596.46165912486
half,15.0,0.9,2.5,110,0.05087881591119334,97658.44425497518,-21181.3610458262,-10183.214204984763,90.34083649858945,0.5467160037002775,92363.10399351863
skip,15.0,0.9,3.0,91,0.04209065679925995,95115.0413894915,-21106.362599469,-10183.214204984763,87.98801238620858,0.5365402405180388,89838.45073962424
half,15.0,0.9,3.0,91,0.04209065679925995,101378.31168158221,-21430.09885991215,-10183.214204984763,93.78197195336006,0.5467160037002775,96020.78696660418
