signal_date,value,cum,dd,variant
2026-03-06,-431.6063458483768,-2129.4779352236965,-1904.8247560329435,rank1_only_oi_dates
2026-03-07,-923.0029765655476,-3052.480911789244,-2827.827732598491,rank1_only_oi_dates
2026-03-08,181.9076000000016,-2870.5733117892423,-2645.9201325984895,rank1_only_oi_dates
2026-03-09,-286.51703043478267,-3157.090342224025,-2932.4371630332716,rank1_only_oi_dates
2026-03-10,-240.294117647058,-3397.384459871083,-3172.73128068033,rank1_only_oi_dates
2026-03-11,-1655.2550258064523,-5052.639485677535,-4827.986306486782,rank1_only_oi_dates
2026-03-12,752.575757575758,-4300.063728101777,-4075.4105489110243,rank1_only_oi_dates
2026-03-13,238.90243902439045,-4061.1612890773868,-3836.508109886634,rank1_only_oi_dates
2026-03-14,147.21402214021907,-3913.9472669371676,-3689.2940877464143,rank1_only_oi_dates
2026-03-15,-331.0869565217384,-4245.034223458906,-4020.3810442681533,rank1_only_oi_dates
2026-03-16,-341.3230156840925,-4586.357239142999,-4361.704059952246,rank1_only_oi_dates
2026-03-17,468.22697855809247,-4118.130260584907,-3893.477081394154,rank1_only_oi_dates
2026-03-18,172.4041267265486,-3945.7261338583585,-3721.0729546676057,rank1_only_oi_dates
2026-03-19,-525.7243311117552,-4471.450464970114,-4246.797285779361,rank1_only_oi_dates
2026-03-20,522.5539357960465,-3948.8965291740674,-3724.243349983314,rank1_only_oi_dates
2026-03-21,176.51682926829173,-3772.379699905776,-3547.726520715023,rank1_only_oi_dates
2026-03-22,-461.7196838949953,-4234.099383800771,-4009.446204610018,rank1_only_oi_dates
2026-03-23,182.98955613577027,-4051.1098276650005,-3826.4566484742472,rank1_only_oi_dates
2026-03-24,154.50148992808744,-3896.608337736913,-3671.9551585461604,rank1_only_oi_dates
2026-03-25,246.28747250276567,-3650.3208652341477,-3425.6676860433945,rank1_only_oi_dates
2026-03-26,751.2457202898547,-2899.0751449442932,-2674.4219657535405,rank1_only_oi_dates
2026-03-27,-167.20352820512775,-3066.278673149421,-2841.625493958668,rank1_only_oi_dates
2026-03-28,476.0630840125404,-2590.2155891368807,-2365.5624099461274,rank1_only_oi_dates
2026-03-29,-93.58177142857116,-2683.797360565452,-2459.1441813746987,rank1_only_oi_dates
