period,variant,mode,positions,active_days,adjusted_positions,adjusted_rank1,adjusted_rank2,total_bps,mean_active_day_bps,win_rate_active_day,maxdd_bps,worst_day_bps,best_day_bps,delta_total_vs_baseline,dd_improvement_vs_baseline
full_2022_2026,half_cooldown_30d_loss1000,half,2162,1081,104,72,32,102103.0883439511,94.45244065120362,0.5467160037002775,-22460.827234297358,-8670.648008634398,5496.6380354619705,-5538.493629721837,-7.386330289162288
full_2022_2026,skip_cooldown_14d_loss2000,skip,2162,1081,23,15,8,98184.66624544558,90.82762834916332,0.547641073080481,-20598.146087470897,-7360.891577610625,5496.6380354619705,-9456.915728227352,1855.2948165372982
full_2022_2026,half_cooldown_14d_loss2000,half,2162,1081,23,15,8,102913.12410955926,95.2017799348374,0.5494912118408881,-21525.79349573955,-8670.648008634398,5496.6380354619705,-4728.457864113676,927.6474082686473
full_2022_2026,skip_cooldown_30d_loss2000,skip,2162,1081,38,26,12,92825.09282255289,85.86965108469278,0.5430157261794635,-20956.558024829148,-7360.891577610625,5496.6380354619705,-14816.48915112004,1496.8828791790474
full_2022_2026,half_cooldown_30d_loss2000,half,2162,1081,38,26,12,100233.3373981129,92.72279130260212,0.547641073080481,-21525.79349573955,-8670.648008634398,5496.6380354619705,-7408.244575560035,927.6474082686473
full_2022_2026,skip_cooldown_30d_loss3000,skip,2162,1081,31,21,10,95345.81615557338,88.20149505603459,0.5430157261794635,-20598.1460874709,-7360.891577610625,5496.6380354619705,-12295.76581809955,1855.2948165372945
full_2022_2026,half_cooldown_30d_loss3000,half,2162,1081,31,21,10,101493.69906462316,93.88871328827302,0.547641073080481,-21525.79349573955,-8670.648008634398,5496.6380354619705,-6147.882909049775,927.6474082686473
full_2022_2026,skip_extreme_idio20_close90_volz3,skip,2162,1081,4,3,1,107253.2227434642,99.21667228812598,0.5504162812210915,-22453.440904008196,-10183.214204984763,5496.6380354619705,-388.3592302087345,0.0
full_2022_2026,half_extreme_idio20_close90_volz3,half,2162,1081,4,3,1,107447.40235856856,99.39630190431873,0.5504162812210915,-22453.440904008196,-10183.214204984763,5496.6380354619705,-194.17961510436726,0.0
full_2022_2026,skip_extreme_idio20_volz3,skip,2162,1081,56,40,16,102050.6796471145,94.40395897050371,0.543940795559667,-22738.48047414012,-10183.214204984763,5496.6380354619705,-5590.902326558426,-285.03957013192485
full_2022_2026,half_extreme_idio20_volz3,half,2162,1081,56,40,16,104846.1308103937,96.9899452455076,0.547641073080481,-22494.87843158623,-10183.214204984763,5496.6380354619705,-2795.4511632792273,-41.43752757803304
full_2022_2026,skip_pump_score_ge3,skip,2162,1081,63,42,21,95747.03966798488,88.57265464198413,0.545790934320074,-22784.72505051083,-10183.214204984763,5496.6380354619705,-11894.542305688054,-331.28414650263585
full_2022_2026,half_pump_score_ge3,half,2162,1081,63,42,21,101694.31082082889,94.07429308124782,0.5494912118408881,-22619.082977259524,-10183.214204984763,5496.6380354619705,-5947.271152844041,-165.64207325132884
full_2022_2026,skip_gap5_or_cooldown14_loss2000,skip,2162,1081,23,15,8,98184.66624544558,90.82762834916332,0.547641073080481,-20598.146087470897,-7360.891577610625,5496.6380354619705,-9456.915728227352,1855.2948165372982
full_2022_2026,half_gap5_or_cooldown14_loss2000,half,2162,1081,23,15,8,102913.12410955926,95.2017799348374,0.5494912118408881,-21525.79349573955,-8670.648008634398,5496.6380354619705,-4728.457864113676,927.6474082686473
full_2022_2026,skip_gap5_idio10_or_cooldown14_loss2000,skip,2162,1081,23,15,8,98184.66624544558,90.82762834916332,0.547641073080481,-20598.146087470897,-7360.891577610625,5496.6380354619705,-9456.915728227352,1855.2948165372982
full_2022_2026,half_gap5_idio10_or_cooldown14_loss2000,half,2162,1081,23,15,8,102913.12410955926,95.2017799348374,0.5494912118408881,-21525.79349573955,-8670.648008634398,5496.6380354619705,-4728.457864113676,927.6474082686473
full_2022_2026,skip_gap5_and_no_pullback90,skip,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
full_2022_2026,half_gap5_and_no_pullback90,half,2162,1081,0,0,0,107641.58197367293,99.57593152051149,0.5494912118408881,-22453.440904008196,-10183.214204984763,5496.6380354619705,0.0,0.0
pre2026,top2_baseline,baseline,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,rank1_only,rank1_only,1878,939,939,0,0,48190.06167428067,51.32061946142776,0.5516506922257721,-16130.116872611965,-7158.081812284034,3179.968096588269,,
pre2026,rank2_half_all,rank2_half_all,1878,939,939,0,0,53253.85492480629,56.71337052695026,0.5431309904153354,-17320.1729517275,-8670.648008634398,4338.30306602512,,
pre2026,skip_gap_gt_2pct,skip,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,half_gap_gt_2pct,half,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,skip_gap_gt_3pct,skip,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,half_gap_gt_3pct,half,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,skip_gap_gt_5pct,skip,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,half_gap_gt_5pct,half,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,skip_gap_gt_7.5pct,skip,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,half_gap_gt_7.5pct,half,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,skip_gap_gt_10pct,skip,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,half_gap_gt_10pct,half,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,skip_gap_gt_15pct,skip,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,half_gap_gt_15pct,half,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,skip_gap_gt_3_idio_gt10,skip,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,half_gap_gt_3_idio_gt10,half,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,skip_gap_gt_5_idio_gt10,skip,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,half_gap_gt_5_idio_gt10,half,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,skip_gap_gt_7.5_idio_gt10,skip,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,half_gap_gt_7.5_idio_gt10,half,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,skip_gap_gt_10_idio_gt10,skip,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,half_gap_gt_10_idio_gt10,half,1878,939,0,0,0,58317.64817533192,62.106121592472746,0.5271565495207667,-22453.440904008196,-10183.214204984763,5496.6380354619705,,
pre2026,skip_no_pullback_close_loc_ge90,skip,1878,939,266,139,127,51781.98865677192,55.14588781338862,0.5026624068157615,-23298.159946827407,-10183.214204984763,5496.6380354619705,,
pre2026,half_no_pullback_close_loc_ge90,half,1878,939,266,139,127,55049.818416051916,58.626004702930686,0.5260915867944622,-20348.696848151332,-10183.214204984763,5496.6380354619705,,
